,How valuable do you consider educational and public outreach initiatives?,,,What percentage of your current research is spent on EPO activities?,,,What percentage of a research grant should eb used for EPO activities on average?,,,How much of your working time do you spend on EPO activities?,,,How much of your own free time do you spend on EPO activities?,,,Do you recommend/encourage your students/Post-docs to be involved in EPO?,,,,How do you participate in EPO activities?,,,,,,,,,,,,
31,Important,,31,10,,31,15,,31,<2h,,31,0h,,31,y,,,31,,,1,,,,,1,1,,,,
32,Essential,,32,n.a.,,32,10,,32,<2h,,32,3-5h,,32,y,,,32,,,1,1,,,,,1,,,,
33,Important,,33,10,,33,30,,33,6-8h,,33,2d,,33,y,,,33,,,1,,,,,,1,,,,
34,Essential,,34,30,,34,30,,34,3-5h,,34,2d,,34,y,,,34,1,,1,1,1,,,,1,1,,,
35,Essential,,35,1-2,,35,10,,35,3-5h,,35,<2h,,35,n,,,35,,,1,1,1,,,,,,,,
36,Important,,36,n.a.,,36,n.a.,,36,3-5h,,36,3-5h,,36,y,,,36,1,1,,,,,,1,,,,,
37,Essential,,37,100,,37,5,,37,6-8h,,37,6-8h,,37,y,,,37,1,1,1,1,1,,1,1,,,,,
38,Essential,,38,5,,38,10-15,,38,<2h,,38,<2h,,38,y,,,38,1,,1,1,,,,1,,1,,,
39,Essential,,39,n.a.,,39,n.a.,,39,,,39,n.a.,,39,n.a.,,,39,,,,,,,,1,,,,,
40,Essential,,40,5,,40,10,,40,3-5h,,40,6-8h,,40,y,,,40,1,,1,,,,,1,1,,,,
41,Essential,,41,100,,41,n.a.,,41,>3d,,41,<2h,,41,y,,,41,,1,,,,,,1,1,1,,,
42,Essential,,42,0,,42,5,,42,3-5h,,42,3-5h,,42,y,,,42,1,,1,1,,,,,,,,1,"writing online activites, training teachers"
43,Essential,,43,80,,43,10,,43,2d,,43,2d,,43,y,,,43,1,,1,1,1,1,1,1,1,1,,1,"teaching materials, advise teachers"
44,Essential,,44,5,,44,10,,44,3-5h,,44,3-5h,,44,y,,,44,1,,1,1,,,,1,1,,,,
45,Essential,,45,5,,45,20,,45,3-5h,,45,3d,,45,y,,,45,,,1,1,,1,,1,1,,,,
46,Essential,,46,5,,46,25,,46,3-5h,,46,>3d,,46,y,,,46,1,1,1,1,,1,1,1,1,1,,1,geocachers events
47,Essential,,47,1,,47,2,,47,<2h,,47,0h,,47,y,,,47,,,1,,,,,,,1,,,
48,Important,,48,10,,48,10,,48,0h,,48,<2h,,48,y,,,48,,,,,,,,,,,,1,tv
49,Essential,,49,0,,49,10,,49,0h,,49,3d,,49,y,,,49,1,1,1,1,,1,1,,1,1,,1,OAD initiatives - Vietnam Philippines
50,Essential,,50,0,,50,10-20,,50,3-5h,,50,2d,,50,y,,,50,1,1,1,1,,,1,,,,,1,OAD activities
51,Essential,,51,0,,51,20,,51,6-8h,,51,0h,,51,y,,,51,1,,,1,,,,1,1,,,1,visiting communities in developing countries
52,Essential,,52,50,,52,n.a.,,52,3-5h,,52,0h,,52,n.a.,,,52,,,,,,,,1,,,,,
53,Essential,,53,5,,53,5,,53,<2h,,53,<2h,,53,y,,,53,,,1,1,,,,1,1,,,,
54,Essential,,54,20,,54,50,,54,2d,,54,6-8h,,54,y,,,54,,,1,,,,,1,,,,,
55,Important,,55,n.a.,,55,10,,55,6-8h,,55,3d,,55,y,,,55,1,,1,1,1,,,1,,,,,
56,Essential,,56,5,,56,5,,56,<2h,,56,2d,,56,y,,,56,1,,1,1,,,,1,1,,,,
57,Essential,,57,few,,57,few,,57,<2h,,57,<2h,,57,y,,,57,1,,1,,,,,,1,1,,1,steering committee for astronomy webpage for teachers
58,Important,,58,<2,,58,2-5,,58,0h,,58,<2h,,58,y,,,58,,,1,,,,,,,,,,
59,Important,,59,0,,59,0,,59,3-5h,,59,n.a.,,59,y,,,59,,,1,1,,,,1,1,1,,,
60,Essential,,60,10,,60,30,,60,,,60,>3d,,60,y,,,60,1,1,1,1,1,,1,1,1,1,,,
61,Essential,,61,5,,61,20,,61,3-5h,,61,<2h,,61,y,,,61,1,,1,1,,,1,1,,1,,,
62,Essential,,62,0,,62,5-10,,62,0 h,,62,<2h,,62,n.a.,,,62,,,,,,1,,,,,,,
63,Essential,,63,0,,63,5-10,,63,1 d,,63,<2h,,63,n.a.,,,63,1,,,,,,,,,,,,
64,Essential,,64,0,,64,2-5,,64,<2 h,,64,0h,,64,y,,,64,1,1,1,,,,,,1,,,,
65,n.a.,,65,n.a.,,65,n.a.,,65,n.a.,,65,n.a.,,65,n.a.,,,65,,,,,,,,,,,,,
66,Essential,,66,n.a.,,66,2-5,,66,<2 h,,66,<2h,,66,n.a.,,,66,1,,1,1,,,,1,1,,,,
67,Important,,67,10-20,,67,30-40,,67,3-5 h,,67,3-5h,,67,y,,,67,1,,1,,,1,,1,,,,,
68,Essential,,68,5-10,,68,30-40,,68,6-8 h,,68,<2h,,68,y,,,68,1,,1,,,1,,1,,,,,
69,Essential,,69,2-5,,69,5-10,,69,>3 d,,69,3-5h,,69,y,,,69,1,1,1,,,1,,1,1,,,,
70,Essential,,70,0,,70,2-5,,70,<2 h,,70,<2h,,70,y,,,70,1,1,1,,,1,,1,1,1,,,
71,Essential,,71,0,,71,2-5,,71,<2 h,,71,<2h,,71,n,,,71,1,1,1,,,,,1,1,,,,
72,Essential,,72,n.a.,,72,2-5,,72,>3 d,,72,6-8h,,72,y,,,72,1,,1,1,,,,,1,,,,
73,Essential,,73,n.a.,,73,2-5,,73,<2 h,,73,<2h,,73,y,,,73,1,1,1,,,,1,1,1,1,,1,"Organizing outreach festivals, maintaining a website, being active on social media, teaching university classes, answering e-mail from the public, doing media interviews "
74,Essential,,74,<2,,74,2-5,,74,<2 h,,74,<2h,,74,y,,,74,1,1,1,,,,1,1,1,1,,,
75,Important,,75,0,,75,2-5,,75,0 h,,75,<2h,,75,n.a.,,,75,,,1,,,,,,,,,,
76,Essential,,76,n.a.,,76,5-10,,76,3-5 h,,76,<2h,,76,y,,,76,,,1,1,,,,,,1,,,
77,Important,,77,0,,77,0,,77,<2 h,,77,<2h,,77,y,,,77,,1,1,,,,1,1,1,,,,
78,Essential,,78,<2,,78,2-5,,78,<2 h,,78,<2h,,78,y,,,78,,,1,,,,,1,,,,,
79,Essential,,79,2-5,,79,5-10,,79,<2 h,,79,<2h,,79,y,,,79,1,,1,,,1,,1,1,1,,,
80,Essential,,80,<2,,80,2-5,,80,<2 h,,80,0h,,80,y,,,80,,,1,,,,,1,,,,,
81,Essential,,81,n.a.,,81,n.a.,,81,<2 h,,81,<2h,,81,y,,,81,,,,,,,,,1,1,,,
82,Essential,,82,n.a.,,82,2-5,,82,<2 h,,82,<2h,,82,y,,,82,,,1,,,,,1,,,,,
83,Essential,,83,n.a.,,83,2-5,,83,>3 d,,83,0h,,83,y,,,83,,1,1,,,,,1,1,,,,
84,Essential,,84,n.a.,,84,<2,,84,0 h,,84,0h,,84,n.a.,,,84,,,,,,,,,,,,1,designing educational programs in planetarium
85,Essential,,85,20-30,,85,5-10,,85,6-8 h,,85,<2h,,85,y,,,85,1,,,,,,,,,,,,
86,Important,,86,<2,,86,5-10,,86,0 h,,86,<2h,,86,n.a.,,,86,,,1,1,,,1,1,,,,,
87,Essential,,87,<2,,87,2-5,,87,<2 h,,87,<2h,,87,y,,,87,1,,,1,,,,,,,,,
88,Essential,,88,5-10,,88,5-10,,88,2 d,,88,<2h,,88,y,,,88,1,1,1,,,,,1,1,,,,
89,Essential,,89,<2,,89,2-5,,89,3-5 h,,89,<2h,,89,y,,,89,1,1,1,,,1,,1,1,,,,
90,Essential,,90,0,,90,2-5,,90,0 h,,90,0h,,90,n.a.,,,90,1,1,1,1,,1,,1,1,1,,1,"Let's talk science, chat with students, virtual presentation, press releases about science results"
91,Important,,91,n.a.,,91,<2,,91,<2 h,,91,<2h,,91,n.a.,,,91,,,1,,,,,1,,,,,
92,Essential,,92,n.a.,,92,10-20,,92,3-5 h,,92,3-5h,,92,n.a.,,,92,,,1,,,,,,,,,,
93,Essential,,93,n.a.,,93,5-10,,93,6-8 h,,93,6-8h,,93,n.a.,,,93,1,,1,,,,1,1,1,,,,
94,Essential,,94,0,,94,5-10,,94,0 h,,94,<2h,,94,y,,,94,1,,1,,,1,1,1,1,1,,,
95,Important,,95,0,,95,0,,95,<2 h,,95,<2h,,95,y,,,95,1,1,1,,,,,1,1,,,,
96,Essential,,96,n.a.,,96,2-5,,96,>3 d,,96,<2h,,96,n.a.,,,96,1,,1,,,,,,1,,,,
97,Essential,,97,n.a.,,97,<2,,97,0 h,,97,<2h,,97,n.a.,,,97,,,1,1,1,1,1,,,,,,
98,Essential,,98,0,,98,2-5,,98,<2 h,,98,0h,,98,n.a.,,,98,,,1,,,,,1,1,,,1,Mentoring
99,Essential,,99,0,,99,n.a.,,99,0 h,,99,0h,,99,n.a.,,,99,,,1,1,,,,,1,,,,
100,Essential,,100,0,,100,5-10,,100,<2 h,,100,<2h,,100,y,,,100,1,1,,,,,,,,,,1,Talk to people who show an interest to astronomy
101,Essential,,101,5-10,,101,10-20,,101,3-5 h,,101,<2h,,101,y,,,101,1,,1,,,,,,,,,,
102,Important,,102,<2,,102,n.a.,,102,<2 h,,102,<2h,,102,y,,,102,1,,1,,,,1,1,1,,,,
103,Important,,103,0,,103,2-5,,103,0 h,,103,<2h,,103,n.a.,,,103,1,,1,1,,1,,1,,1,,,
104,Essential,,104,0,,104,0,,104,0 h,,104,<2h,,104,n.a.,,,104,1,,,,,,,,,,,,
105,Essential,,105,n.a.,,105,2-5,,105,6-8 h,,105,<2h,,105,y,,,105,,,1,,,,1,,,,,,
106,Essential,,106,0,,106,0,,106,<2 h,,106,<2h,,106,n.a.,,,106,1,,1,1,1,,1,1,1,1,,1,Supporting amateur astronomy
107,Essential,,107,2-5,,107,10-20,,107,3-5 h,,107,6-8h,,107,y,,,107,1,1,1,,,,,1,1,,,,
108,Essential,,108,5-10,,108,10-20,,108,<2 h,,108,<2h,,108,y,,,108,1,,1,1,,1,1,,,1,,,
109,Essential,,109,n.a.,,109,2-5,,109,>3 d,,109,<2h,,109,n.a.,,,109,1,1,1,,,,,,,1,,,
110,Essential,,110,0,,110,5-10,,110,<2 h,,110,<2h,,110,n.a.,,,110,1,,1,,,,,1,1,,,,
111,Essential,,111,5-10,,111,5-10,,111,<2 h,,111,<2h,,111,y,,,111,,,1,,,,,,,,,,
112,Essential,,112,0,,112,0,,112,3-5 h,,112,<2h,,112,y,,,112,1,1,1,1,,1,,1,1,,,,
113,Essential,,113,n.a.,,113,n.a.,,113,0 h,,113,<2h,,113,y,,,113,1,1,1,1,,,,1,1,,,1,Youtube Videos
114,Essential,,114,0,,114,2-5,,114,0 h,,114,<2h,,114,n.a.,,,114,,,,,,,,,1,,,1,Web Formation
115,Essential,,115,0,,115,2-5,,115,0 h,,115,<2h,,115,n.a.,,,115,1,1,1,,,1,,1,1,,,,
116,Essential,,116,<2,,116,2-5,,116,<2 h,,116,<2h,,116,y,,,116,1,1,1,,,1,,1,1,,,,
117,Essential,,117,<2,,117,2-5,,117,<2 h,,117,<2h,,117,y,,,117,1,,1,,,,,,,,,,
118,Essential,,118,2-5,,118,5-10,,118,3-5 h,,118,<2h,,118,y,,,118,1,1,,,,,,,,,,,
119,Important,,119,n.a.,,119,2-5,,119,0 h,,119,0h,,119,n.a.,,,119,1,1,1,,,,1,1,1,1,,,
120,Important,,120,0,,120,2-5,,120,<2 h,,120,<2h,,120,n.a.,,,120,,,,,,,,,,,1,,
121,Essential,,121,10-20,,121,10-20,,121,<2 h,,121,3-5h,,121,n.a.,,,121,1,,1,,,,,,,,,,
122,Essential,,122,<2,,122,5-10,,122,<2 h,,122,<2h,,122,n.a.,,,122,1,,1,,,,,,,,,,
123,Essential,,123,0,,123,n.a.,,123,<2 h,,123,<2h,,123,n.a.,,,123,,,1,,,1,,,1,,,,
124,Essential,,124,<2,,124,2-5,,124,<2 h,,124,<2h,,124,y,,,124,,,1,,,,1,,1,,,,based on activities which are pre arrange because of time constraint
125,Essential,,125,0,,125,2-5,,125,<2 h,,125,<2h,,125,n.a.,,,125,,,1,,,1,,,1,,,,
126,Important,,126,n.a.,,126,2-5,,126,n.a.,,126,<2h,,126,n.a.,,,126,,,1,,,,1,,,,,,
127,Essential,,127,0,,127,<2,,127,<2 h,,127,<2h,,127,y,,,127,1,,,,,,,,,,,,
128,Important,,128,0,,128,2-5,,128,0 h,,128,<2h,,128,n.a.,,,128,,,1,,,,,,,1,,,
129,Essential,,129,5-10,,129,5-10,,129,3-5 h,,129,<2h,,129,n.a.,,,129,1,,1,,,,,,1,,,,
130,Neutral,,130,2-5,,130,2-5,,130,3-5 h,,130,3-5h,,130,y,,,130,1,1,,,,,,,,,,,
131,Essential,,131,0,,131,20-30,,131,3-5 h,,131,<2h,,131,y,,,131,,,,,,,,,1,,,1,teaching
132,Essential,,132,n.a.,,132,2-5,,132,3-5 h,,132,<2h,,132,y,,,132,1,,1,,,1,,1,1,1,,,
133,Essential,,133,2-5,,133,5-10,,133,<2 h,,133,<2h,,133,y,,,133,,1,1,1,,,1,1,1,1,,,
134,Neutral,,134,0,,134,0,,134,<2 h,,134,<2h,,134,n.a.,,,134,1,1,1,,,,,,,,1,,
135,Important,,135,n.a.,,135,0,,135,3-5 h,,135,<2h,,135,y,,,135,,,,,,,,,1,,,,
136,Essential,,136,n.a.,,136,n.a.,,136,<2 h,,136,6-8h,,136,n.a.,,,136,,1,1,1,,,,1,1,,,,
137,Important,,137,n.a.,,137,5-10,,137,0 h,,137,0h,,137,n.a.,,,137,,,1,,,,1,,,,,1,"Youtube Channel, involved with amateur astronomy organization, working with parks on light pollution awareness"
138,Important,,138,0,,138,5-10,,138,<2 h,,138,0h,,138,n.a.,,,138,,,,,,,,,,,1,,
139,Essential,,139,2-5,,139,2-5,,139,<2 h,,139,<2h,,139,y,,,139,1,,,1,,,,,1,,,1,"Public event (shopping mall), STEM workshops for students"
140,Essential,,140,0,,140,0,,140,<2 h,,140,<2h,,140,y,,,140,1,,1,,,,,,1,,,1,Engaging with the public in everyay life experience
141,Essential,,141,0,,141,5-10,,141,<2 h,,141,<2h,,141,y,,,141,,1,1,,,,,1,1,1,,,
142,Essential,,142,0,,142,0,,142,<2 h,,142,<2h,,142,n.a.,,,142,,,1,,,,,,,,,,
143,Essential,,143,0,,143,5-10,,143,<2 h,,143,6-8h,,143,n.a.,,,143,,,,1,,,,,1,,,,
144,Essential,,144,0,,144,5-10,,144,3-5 h,,144,<2h,,144,n.a.,,,144,,,,,,,,,1,,,,
145,Essential,,145,n.a.,,145,5-10,,145,3-5 h,,145,3-5h,,145,y,,,145,1,1,1,,,1,1,1,1,,,,
146,Essential,,146,n.a.,,146,5-10,,146,3-5 h,,146,3-5h,,146,y,,,146,,,,,,,1,1,,,,,
147,Essential,,147,2-5,,147,2-5,,147,3-5 h,,147,0h,,147,y,,,147,,,,,,,1,1,,,,,
148,Important,,148,n.a.,,148,5-10,,148,1 d,,148,2d,,148,y,,,148,1,1,1,1,,,,,,,,1,"Consulting for broadcasting, online video"
149,Essential,,149,2-5,,149,2-5,,149,<2 h,,149,<2h,,149,y,,,149,1,,1,1,,1,,1,,,,,
150,Essential,,150,n.a.,,150,20-30,,150,>3 d,,150,2d,,150,y,,,150,1,,1,1,,1,,,1,,,,
151,Essential,,151,0,,151,2-5,,151,<2 h,,151,<2h,,151,y,,,151,1,1,1,1,,,,1,1,,,,
152,Essential,,152,5-10,,152,20-30,,152,6-8 h,,152,6-8h,,152,y,,,152,1,1,1,,,1,1,1,1,,,,
153,Essential,,153,n.a.,,153,2-5,,153,3-5 h,,153,<2h,,153,y,,,153,1,,1,1,,1,,,1,,,,
154,Essential,,154,0,,154,5-10,,154,<2 h,,154,<2h,,154,y,,,154,1,,1,,,1,,,1,,,,
155,Essential,,155,0,,155,2-5,,155,<2 h,,155,3-5h,,155,y,,,155,1,,1,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Presenting at schools,Bringing students into the lab/department,Giving public lectures,Writing popular articles,Writing popular books,Writing/contributing to a blog,Supporting EPO activities in a planetarium,Observing events,Institution/Observatory open days,Supporting exhibition development,I do not participate,Other,
,,,,,,,,,,,,,,,,,,,Total,88,47,116,53,13,34,34,72,80,34,6,23,
